id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgyXRtgZgMQKIpSEVbV4AaABAg	0	0	2019-04-19 06:25:22	Dee W. C.	AWESOME SAUCE!!! GREAT VIDEO!!!	UCNf35l0BCfI5XBqs4saIHFg	http://www.youtube.com/channel/UCNf35l0BCfI5XBqs4saIHFg	0		
UgxlQLc7hUaeqgiRVV94AaABAg	0	1	2019-04-19 05:27:20	Kevin Breaker	He is doing a first class job🇺🇲👍👍😎	UCxV1xwuajoCovNzSCQjGgug	http://www.youtube.com/channel/UCxV1xwuajoCovNzSCQjGgug	0		
UgwWAhdHLeoqTQEYb2V4AaABAg	0	0	2019-04-19 03:49:05	Allen Boyden	I&#39;m telling you he needs to be king Trump	UCyzOkxkNqreMZNaRFPNzikQ	http://www.youtube.com/channel/UCyzOkxkNqreMZNaRFPNzikQ	0		
UgxtkkYC5e65naV1pCl4AaABAg	0	0	2019-04-19 01:02:23	David Hickey	DEMS got NOTHING!!!	UCkcl7y4wn2BB1MxvP3efCWA	http://www.youtube.com/channel/UCkcl7y4wn2BB1MxvP3efCWA	0		
UgyG_MjdOYXx7eAnEh14AaABAg	0	0	2019-04-18 23:33:28	Kai Parker	👏 O 👏 M 👏 G 👏	UCu2oXr6fILbnMMXW4DflbxA	http://www.youtube.com/channel/UCu2oXr6fILbnMMXW4DflbxA	0		
UgxHoDNghoPjMwHHBah4AaABAg	0	0	2019-04-18 22:48:48	Ryan P	President TRUMP 2020!! All the way!!	UCZsy42lqoRYfhGEiKIW2IZA	http://www.youtube.com/channel/UCZsy42lqoRYfhGEiKIW2IZA	0		
UgxaHWBjzXkaAHU4vTt4AaABAg	0	0	2019-04-18 21:26:51	Robby White Head	What a guy!!	UCe4RZG2j9HdTq6qV5sHC9vA	http://www.youtube.com/channel/UCe4RZG2j9HdTq6qV5sHC9vA	0		
UgwO5KbnCHAJ7gDrpl54AaABAg	0	0	2019-04-18 21:18:33	Commissar Debit Fett	Ill be proud that my first ever vote as an of age citizen will be for Trump in 2020!	UCgH8jvYO4bABpDIhCjPfAoQ	http://www.youtube.com/channel/UCgH8jvYO4bABpDIhCjPfAoQ	0		
Ugy2FM3f9idCEC-CGHF4AaABAg	0	1	2019-04-18 20:36:26	Motivation ForYurLIfe	This man was born to be a leader in business in Christianity and for the United States God bless America <a href="http://www.youtube.com/results?search_query=%23MAGA">#MAGA</a> <a href="http://www.youtube.com/results?search_query=%23Trump">#Trump</a>	UCU91J_9zY2h6631UY6CiCLA	http://www.youtube.com/channel/UCU91J_9zY2h6631UY6CiCLA	0		
UgwXZdR2bPUSEWXWaxl4AaABAg	0	0	2019-04-18 19:17:17	Kevin Hickok	You and Reagan are the best thing to happen to America...MAGA and may God bless you and America.	UCId-lO0Jkvhk-4nBYTnn8dA	http://www.youtube.com/channel/UCId-lO0Jkvhk-4nBYTnn8dA	0		
