position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
1	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	sBSH8CwhK7I	2019-04-18T16:41:32.000Z	2019-04-18 16:41:32	Time to Turn the Tables	After issuing 2,800 subpoenas and 500 search warrants, interviewing 500 witnesses, employing 40 FBI agents and 19 lawyers, and spending tens of millions of taxpayer dollars, President Trump has been fully and completely exonerated yet again.	25	News & Politics	PT1M59S	119	2d	sd	false		30738	1894	44	0	442
2	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	fXTA36HO65g	2019-04-15T19:53:08.000Z	2019-04-15 19:53:08	MAKE AMERICA GREAT AGAIN!	Where will you be November 3, 2020?	25	News & Politics	PT1M1S	61	2d	hd	false		10138	1840	42	0	557
3	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	dhCZuUiMY5w	2019-04-08T14:29:21.000Z	2019-04-08 14:29:21	Real News Update 4.6.19	With the Collusion Delusion OVER, it is time for Democrats in Congress to work with Republicans. Democrats must realize we have a country to run!	25	News & Politics	PT4M15S	255	2d	sd	false		6900	883	31	0	343
4	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	p-UV7Bo9iIs	2019-04-06T14:13:32.000Z	2019-04-06 14:13:32	First Step Act Celebration	The First Step Act enacted commonsense criminal justice reform. This legislation gives people a second chance and is making America safer!	25	News & Politics	PT3M21S	201	2d	hd	false		14856	1339	31	0	271
5	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	oVlZJz8gQ3o	2019-04-05T13:28:01.000Z	2019-04-05 13:28:01	Stand With President Trump	Democrats are playing political games with national security. There is an undeniable crisis on our southern border and we need to fix it QUICKLY!	25	News & Politics	PT1M1S	61	2d	hd	false		8959	1315	31	0	248
6	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	mn5CSpOCz3c	2019-03-27T14:12:17.000Z	2019-03-27 14:12:17	Real News Insights w/ Marcus Luttrell	Thank God for our BRAVE men and women in uniform!	25	News & Politics	PT9M13S	553	2d	hd	false		2420	334	14	0	97
7	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	w1M-mx5zloQ	2019-03-27T14:12:16.000Z	2019-03-27 14:12:16	Real News Insights w/ Lou Holtz	It is time for the Democrats to get on board with our GREAT America First agenda!	25	News & Politics	PT11M32S	692	2d	hd	false		1788	314	8	0	63
8	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	p1dNGX3IqJE	2019-03-27T14:12:11.000Z	2019-03-27 14:12:11	Real News Update 3.25.19	The Fake News Media has NEVER been more Dishonest or Corrupt than it is right now. They refuse to report on all the GREAT things we are doing at home and abroad!	25	News & Politics	PT3M38S	218	2d	hd	false		2642	443	13	0	138
9	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	z0A4yvTAwTg	2019-03-24T21:18:43.000Z	2019-03-24 21:18:43	COLLUSION HOAX!	Trump campaign releases video montage of Democrats' reckless, false charges.	25	News & Politics	PT41S	41	2d	hd	false		218642	4466	133	0	767
10	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	kP76KYfS9_g	2019-02-23T16:15:00.000Z	2019-02-23 16:15:00	Weekly Update 02.23.18	This week my administration took the necessary steps to defend America's interest at home, abroad and in space!	25	News & Politics	PT2M38S	158	2d	hd	false		24907	1695	80	0	469
11	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	Px2OG-ren-s	2019-03-29T01:24:44.000Z	2019-03-29 01:24:44	LIVE: President Trump in Grand Rapids, MI	Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022	25	News & Politics	PT1H25M7S	1507	2d	hd	false		16135	1481	58	0	279
12	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	lfAQ3TTmND0	2019-02-11T20:05:21.000Z	2019-02-11 20:05:21	El Paso Residents: Finish The Wall, It Kept Us Safe	These are ordinary Americans, not Washington politicians, who have seen first-hand how a border wall brought safety and security back to their community.	25	News & Politics	PT2M20S	140	2d	hd	false		33737	1314	125	0	340
13	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	VRwMzHNbzsE	2019-02-12T04:16:21.000Z	2019-02-12 04:16:21	LIVE: President Trump in El Paso, TX	Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022	25	News & Politics	PT1H18M27S	1107	2d	hd	false		82005	3817	421	0	908
14	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	4c9OK_t3f9M	2019-02-04T14:51:52.000Z	2019-02-04 14:51:52	Weekly Update 02.03.19	Tune in to hear how I am fighting for you!	25	News & Politics	PT3M2S	182	2d	hd	false		4619	599	40	0	193
15	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	92cnSOw-Imc	2019-01-22T12:51:40.000Z	2019-01-22 12:51:40	Weekly Update 01.19.19	There is no question that we have a tremendous humanitarian and security crisis at our southern border. Every day that Democrats refuse to fund the border security measures that they supported in the past, the crisis gets worse!	25	News & Politics	PT3M11S	191	2d	hd	false		5500	698	56	0	247
16	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	2gRRmqrwS70	2019-01-11T16:20:06.000Z	2019-01-11 16:20:06	Weekly Update 1.9.19	Our country is doing so well in so many ways – great jobs numbers, rebuilding our military, taking care of veterans, strong economy, historic tax cuts, slashed regulations, and great trade deals. But we MUST fix our Southern Border!	25	News & Politics	PT3M11S	191	2d	hd	false		5577	773	67	0	301
17	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	8FU9_EI_VN4	2019-01-05T22:06:50.000Z	2019-01-05 22:06:50	Text "BORDER" to 88022	Text "BORDER" to 88022 and VOTE to SECURE THE BORDER! By participating, you consent to receive recurring autodialed SMS/MMS marketing msgs. Msg&data rates may apply. Terms & conditions/privacy policy apply www.88022-info.com Paid for by Donald J. Trump For President, Inc.	25	News & Politics	PT43S	43	2d	hd	false		10651992	39027	139425	0	63818
18	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	rxe8Ymfgf3g	2018-12-17T13:18:55.000Z	2018-12-17 13:18:55	Weekly Update 12.16.18	Democrats will oppose anything I want, but I want what the American people want, and that’s border security!	25	News & Politics	PT3M6S	186	2d	hd	false		10340	594	587	0	505
19	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	j2wEZQ1mxnw	2018-12-10T16:19:09.000Z	2018-12-10 16:19:09	Weekly Update 12.8.18	This week our nation joined together to honor the life and legacy of our 41st President, George H.W. Bush.	25	News & Politics	PT3M12S	192	2d	hd	false		4371	467	211	0	210
20	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	K30G5vXhXiY	2018-12-03T15:54:48.000Z	2018-12-03 15:54:48	Weekly Update 12.3.18	Last week was another big win for the Republican party. We now have 53 reliable votes in the Senate for the America First agenda!	25	News & Politics	PT3M24S	204	2d	hd	false		6514	621	157	0	227
21	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	FGEDAeYd4qI	2019-02-06T07:50:44.000Z	2019-02-06 07:50:44	LIVE: President Trump's State of the Union Address	Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022	25	News & Politics	PT4H6M35S	395	2d	hd	false		10198	1044	68	0	183
22	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	WrRZYoPWWFU	2018-11-27T03:47:11.000Z	2018-11-27 03:47:11	LIVE: President Trump in Biloxi, MS	Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Biloxi, MS! Great crowd for a #MAGA rally!	25	News & Politics	PT55M10S	3310	2d	hd	false		27998	1229	232	0	337
23	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	LvyAzZSCOrc	2018-11-26T23:54:44.000Z	2018-11-26 23:54:44	LIVE: President Trump in Tupelo, MS	Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Tupelo, MS! Great crowd for a #MAGA rally!	25	News & Politics	PT46M3S	2763	2d	hd	false		25533	1109	144	0	336
24	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	Z3KW869TSL0	2018-11-06T05:26:11.000Z	2018-11-06 05:26:11	LIVE: President Trump in Cape Girardeau, MO	Find your polling location @ vote.donaldjtrump.com Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Cape Girardeau, MO! Great crowd for a #MAGA rally!	25	News & Politics	PT1H24M55S	1495	2d	hd	false		39713	1572	136	0	405
25	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	AEpsxjLETkQ	2018-11-06T01:06:52.000Z	2018-11-06 01:06:52	LIVE: President Trump in Fort Wayne, IN	Sign up to vote @ vote.donaldjtrump.com Stay up-to-date with the campaign - sign-up for mobile updates: Text TRUMP to 88022 Join President Trump LIVE in Fort Wayne, IN! Great crowd for a #MAGA rally!	25	News & Politics	PT1H8M52S	532	2d	hd	false		35663	1482	120	0	216
